iter	Passed	Remaining
0	157	156994
1	178	89233
2	210	70034
3	229	57125
4	248	49452
5	268	44540
6	286	40632
7	304	37735
8	322	35493
9	345	34183
10	364	32737
11	382	31479
12	399	30306
13	420	29629
14	440	28903
15	457	28134
16	476	27576
17	496	27073
18	517	26738
19	552	27066
20	576	26880
21	592	26353
22	624	26535
23	641	26084
24	659	25713
25	682	25566
26	700	25256
27	726	25216
28	748	25064
29	771	24934
30	788	24659
31	840	25428
32	885	25941
33	975	27714
34	1020	28127
35	1067	28590
36	1087	28298
37	1120	28364
38	1138	28053
39	1155	27731
40	1173	27457
41	1199	27351
42	1219	27148
43	1251	27190
44	1271	26982
45	1288	26727
46	1304	26455
47	1319	26165
48	1331	25832
49	1342	25509
50	1351	25149
51	1364	24870
52	1381	24678
53	1397	24482
54	1411	24257
55	1433	24159
56	1446	23931
57	1459	23701
58	1468	23422
59	1482	23221
60	1493	22995
61	1502	22726
62	1513	22505
63	1524	22294
64	1534	22070
65	1545	21869
66	1557	21689
67	1566	21470
68	1579	21317
69	1593	21166
70	1604	20992
71	1613	20797
72	1625	20637
73	1634	20452
74	1643	20270
75	1654	20110
76	1662	19926
77	1672	19771
78	1685	19650
79	1704	19602
80	1718	19501
81	1727	19343
82	1739	19216
83	1750	19083
84	1774	19103
85	1845	19617
86	1872	19651
87	1923	19931
88	1946	19924
89	1984	20069
90	2039	20368
91	2063	20362
92	2101	20493
93	2112	20365
94	2146	20447
95	2174	20480
96	2189	20378
97	2199	20246
98	2208	20097
99	2219	19973
100	2228	19836
101	2238	19710
102	2249	19590
103	2258	19458
104	2270	19351
105	2281	19239
106	2292	19129
107	2302	19019
108	2311	18891
109	2322	18790
110	2333	18686
111	2340	18556
112	2351	18458
113	2360	18345
114	2371	18248
115	2381	18150
116	2389	18037
117	2402	17955
118	2412	17862
119	2426	17792
120	2439	17723
121	2452	17651
122	2464	17574
123	2473	17474
124	2485	17397
125	2496	17316
126	2505	17221
127	2517	17147
128	2524	17048
129	2534	16959
130	2550	16918
131	2564	16865
132	2579	16812
133	2592	16752
134	2601	16671
135	2613	16604
136	2624	16531
137	2633	16449
138	2645	16386
139	2655	16311
140	2664	16235
141	2678	16181
142	2685	16096
143	2699	16044
144	2714	16003
145	2727	15954
146	2739	15896
147	2751	15838
148	2763	15783
149	2780	15754
150	2794	15711
151	2807	15665
152	2822	15625
153	2831	15555
154	2843	15500
155	2853	15436
156	2865	15385
157	2882	15360
158	2893	15304
159	2905	15255
160	2914	15186
161	2924	15127
162	2932	15057
163	2943	15002
164	2960	14984
165	2972	14936
166	2980	14865
167	2990	14808
168	2997	14739
169	3009	14693
170	3023	14657
171	3035	14612
172	3043	14551
173	3055	14507
174	3063	14444
175	3075	14399
176	3088	14362
177	3098	14309
178	3108	14259
179	3122	14226
180	3134	14184
181	3143	14130
182	3156	14090
183	3168	14049
184	3177	13999
185	3188	13955
186	3198	13907
187	3208	13860
188	3220	13819
189	3231	13778
190	3240	13725
191	3253	13693
192	3265	13653
193	3274	13606
194	3286	13566
195	3295	13518
196	3305	13472
197	3315	13431
198	3324	13381
199	3335	13342
200	3355	13337
201	3365	13296
202	3374	13249
203	3387	13217
204	3399	13183
205	3408	13137
206	3418	13096
207	3427	13051
208	3435	13000
209	3446	12966
210	3453	12915
211	3463	12875
212	3471	12824
213	3482	12789
214	3489	12741
215	3498	12699
216	3506	12651
217	3515	12611
218	3522	12563
219	3532	12523
220	3539	12476
221	3546	12430
222	3556	12390
223	3563	12344
224	3570	12298
225	3580	12261
226	3590	12225
227	3598	12183
228	3608	12147
229	3616	12106
230	3625	12068
231	3632	12024
232	3642	11991
233	3656	11970
234	3680	11980
235	3692	11952
236	3699	11909
237	3712	11885
238	3724	11860
239	3744	11856
240	3755	11828
241	3766	11797
242	3783	11787
243	3798	11768
244	3811	11746
245	3823	11719
246	3832	11684
247	3845	11659
248	3857	11634
249	3873	11619
250	3882	11586
251	3895	11561
252	3921	11579
253	3936	11562
254	3949	11538
255	3959	11506
256	3973	11486
257	3986	11465
258	4006	11462
259	4026	11459
260	4057	11488
261	4073	11475
262	4086	11451
263	4098	11427
264	4109	11396
265	4120	11370
266	4132	11346
267	4148	11331
268	4184	11372
269	4195	11342
270	4205	11312
271	4216	11285
272	4233	11274
273	4244	11247
274	4258	11226
275	4271	11205
276	4287	11190
277	4304	11178
278	4321	11166
279	4334	11145
280	4371	11185
281	4422	11261
282	4445	11263
283	4467	11263
284	4479	11238
285	4492	11214
286	4518	11224
287	4532	11204
288	4547	11187
289	4563	11172
290	4581	11161
291	4596	11144
292	4611	11126
293	4622	11099
294	4637	11082
295	4649	11057
296	4658	11026
297	4675	11014
298	4691	10998
299	4704	10977
300	4718	10957
301	4733	10941
302	4748	10923
303	4760	10898
304	4768	10866
